1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
p-MEK	-0.07	-0.31	-0.25	-0.05	0.96	-0.84	0.42	0.35	0.2	0.57	0.47	0.39	0.91	0.97	0.95	0.95	-0.84	-0.66	-0.78	-0.8	0.78
p-ERK	-0.22	-0.02	-0.58	-0.25	-0.99	-0.98	0.55	0.33	0.61	0.55	0.58	0.42	-1	-1	-1	-1	-0.96	-0.82	-0.98	-0.82	-1
p-AKT	0.32	-0.7	0.16	0.37	0.12	-0.58	-0.97	0.15	-0.94	-0.05	-0.64	0.05	0.04	-0.88	0.39	0.45	-0.25	-0.98	0	0.24	-0.61
p-P70S6K	0.07	-0.91	-0.88	-0.5	-0.35	-0.63	-0.64	-0.59	-0.93	-0.12	-0.95	-0.96	-0.11	-0.8	-0.74	-0.05	0.07	-0.89	-0.91	-0.5	-0.43
p-eIF4E	-0.65	-0.87	-0.02	-0.05	-0.77	-1	-0.69	-0.06	-0.89	-0.32	-0.65	-0.2	-0.76	-0.93	0.16	-0.48	-0.99	-0.99	-0.99	-0.99	-1
p-RAF	0.01	-0.01	-0.21	-0.36	-0.8	-0.84	0.33	-0.57	-0.47	-0.5	-0.7	-0.86	-0.93	-0.36	-0.39	-0.83	-0.15	-0.08	-0.59	-0.8	-0.95
p-S6	0.06	-1	-1	-0.25	-0.06	-0.28	-1	-1	-1	0	-1	-0.99	0.23	-1	-1	-0.22	-0.08	-1	-1	-0.52	-0.13
G1-arrest	0.14	0.93	0.83	0.82	0.69	0.55	0.91	0.67	0.91	0.79	0.89	0.88	0.68	0.92	0.87	0.84	0.44	0.92	0.78	0.82	0.81
apoptosis	0.07	0.74	0	0	0.2	0.4	0.81	-0.03	0.88	0.01	0.85	0.49	0.02	0.84	0.35	0.11	0.25	0.81	0.24	0.29	0
