	IKKa	NF-kB	A20	FLIP	XIAP	Casp3	Casp6	pCasp8
1	-1	0	0	0	0	0	0	0
2	0	-1	0	0	0	0	0	0
3	0	0	-1	0	0	0	0	0
4	0	0	0	-1	0	0	0	0
5	0	0	0	0	-1	0	0	0
6	0	0	0	0	0	-1	0	0
7	0	0	0	0	0	0	-1	0
8	0	0	0	0	0	0	0	-1
9	-1	-1	0	0	0	0	0	0
10	-1	0	-1	0	0	0	0	0
11	-1	0	0	-1	0	0	0	0
12	-1	0	0	0	-1	0	0	0
13	-1	0	0	0	0	-1	0	0
14	-1	0	0	0	0	0	-1	0
15	-1	0	0	0	0	0	0	-1
16	0	-1	-1	0	0	0	0	0
17	0	-1	0	-1	0	0	0	0
18	0	-1	0	0	-1	0	0	0
19	0	-1	0	0	0	-1	0	0
20	0	-1	0	0	0	0	-1	0
21	0	-1	0	0	0	0	0	-1
22	0	0	-1	-1	0	0	0	0
23	0	0	-1	0	-1	0	0	0
24	0	0	-1	0	0	-1	0	0
25	0	0	-1	0	0	0	-1	0
26	0	0	-1	0	0	0	0	-1
27	0	0	0	-1	-1	0	0	0
28	0	0	0	-1	0	-1	0	0
29	0	0	0	-1	0	0	-1	0
30	0	0	0	-1	0	0	0	-1
31	0	0	0	0	-1	-1	0	0
32	0	0	0	0	-1	0	-1	0
33	0	0	0	0	-1	0	0	-1
34	0	0	0	0	0	-1	-1	0
35	0	0	0	0	0	-1	0	-1
36	0	0	0	0	0	0	-1	-1
